ID,TEAM,NUMBER_OF_GAMES,FINAL_POSSESSION,NUMBER_OF_GOALS_SCORED,TOTAL_ATTEMPTS,GOALS_IN_18,GOALS_OUTSIDE_18,ASSISTS,SHOTS_ON_TARGET,SHOTS_OFF_TARGET,ATTEMPTS_IN_18,ATTEMPTS_OUTSIDE_18,LC,LIC,CC,RIC,RC,TOTAL_OFFERS_TO_RECEIVE,INBEHIND_OFFERS_TO_RECEIVE,INBETWEEN_OFFERS_TO_RECEIVE,INFRONT_OFFERS_TO_RECEIVE,RECEPTIONS_BETWEEN_MID_AND_DEF,ATTEMPTED_LINE_BREAKS,COMPLETED_LINE_BREAKS,ATTEMPTED_DEFENSIVE_LINE_BREAKS,COMPLETED_DEFENSIVE_LINE_BREAKS,YELLOW_CARDS,RED_CARDS,FOULS,OFFSIDES,PASSES,PASSES_COMPLETED,CROSSES,CROSSES_COMPLETED,SWITCHES_OF_PLAY,CORNERS,FREE_KICKS,PENALTIES,GOAL_PREVENTIONS,OWN_GOALS,FORCED_TURNOVERS,DEFENSIVE_PRESSURES
1,ARGENTINA,7,51.142857142857146,15,104,14,1,8,48,42,66,38,90,46,53,42,101,4595,898,1697,2000,114,1309,914,169,95,16,"0",100,23,4375,3841,115,30,38,39,123,4,45,1,494,1688
2,AUSTRALIA,4,31.25,4,25,3,"0",3,9,10,13,12,39,8,13,15,48,1703,396,626,681,31,616,348,63,31,7,"0",52,1,1536,1206,58,10,16,8,48,"0",63,"0",307,1383
3,BELGIUM,3,49.666666666666664,1,34,1,"0",1,11,19,23,11,36,16,15,10,24,1931,382,660,889,24,501,337,52,23,5,"0",30,3,1779,1568,51,16,14,17,43,"0",43,"0",180,824
4,BRAZIL,5,50.4,8,90,8,"0",6,41,34,57,33,98,41,41,34,79,3432,745,1317,1370,64,907,659,91,57,6,"0",63,8,3009,2696,116,24,28,37,85,1,34,"0",361,1477
5,CAMEROON,3,38.333333333333336,4,27,4,"0",4,14,8,20,7,22,23,12,13,42,1377,300,541,536,29,499,273,54,23,8,1,32,2,1159,934,52,8,17,12,46,"0",44,"0",240,922
6,CANADA,3,47,2,35,1,"0",1,6,19,22,13,47,14,13,15,44,1877,450,737,690,29,530,348,59,27,8,"0",33,8,1498,1288,54,15,16,12,42,"0",29,"0",185,860
7,COSTA RICA,3,27.666666666666668,3,12,3,"0",1,7,2,7,5,20,5,7,2,6,1023,229,437,357,12,427,246,28,8,6,"0",24,13,1022,810,22,3,12,1,45,"0",63,"0",221,1257
8,CROATIA,7,48,8,81,7,1,8,28,36,47,34,117,38,33,27,92,4402,920,1777,1705,83,1384,954,133,70,8,"0",90,11,4272,3724,163,36,66,30,106,"0",82,"0",548,2113
9,DENMARK,3,53,1,35,1,"0",1,9,17,23,12,57,14,14,16,62,1936,469,803,664,48,604,440,65,44,5,"0",28,5,1781,1563,77,19,34,21,28,"0",40,"0",211,669
10,ECUADOR,3,46.666666666666664,4,27,4,"0",2,12,9,17,10,31,15,9,15,16,1526,296,637,593,22,456,260,45,19,3,"0",50,8,1337,1107,55,14,12,11,47,1,22,"0",183,748
11,ENGLAND,5,57.8,13,60,12,1,11,27,21,42,18,66,23,22,24,54,3969,730,1574,1665,54,944,693,90,56,1,"0",53,5,3052,2723,94,30,43,25,74,1,45,"0",280,995
12,FRANCE,7,44.857142857142854,16,101,15,1,12,35,42,73,28,113,41,29,29,103,3757,746,1269,1742,87,1065,721,124,82,8,"0",69,16,3656,3192,146,49,28,38,98,2,80,"0",524,1986
13,GERMANY,3,52.666666666666664,6,67,6,"0",5,24,33,46,21,56,25,31,20,44,2052,524,815,713,56,577,427,74,52,3,"0",26,12,1899,1685,79,22,11,25,39,1,27,"0",233,781
14,GHANA,3,37.666666666666664,5,25,5,"0",4,10,12,13,12,27,17,18,10,22,1445,313,591,541,18,460,265,37,14,8,"0",46,4,1173,963,45,9,8,13,41,"0",44,"0",249,898
15,IRAN,3,31.333333333333332,4,35,3,1,2,11,14,18,17,22,5,15,8,11,1047,256,458,333,22,481,239,54,22,7,"0",37,6,982,735,52,8,19,8,32,1,35,"0",219,987
16,JAPAN,4,29.75,5,42,4,1,4,13,16,26,16,49,15,19,14,44,2052,512,777,763,33,604,338,74,34,6,"0",58,9,1593,1298,67,13,11,19,45,"0",62,"0",319,1829
17,KOREA REPUBLIC,4,42.25,5,49,4,1,3,18,19,28,21,65,16,18,19,74,2263,520,918,825,50,713,468,72,47,6,"0",45,7,1866,1607,92,23,47,24,41,"0",50,"0",242,1139
18,MEXICO,3,48.333333333333336,2,42,1,1,1,15,15,21,21,44,12,5,12,54,1412,400,511,501,42,495,304,78,40,7,"0",51,13,1253,1045,84,18,15,16,55,"0",23,"0",216,749
19,MOROCCO,7,34.857142857142854,6,61,5,1,4,17,28,34,27,62,11,24,21,73,3520,727,1435,1358,60,997,596,104,50,9,1,97,19,2690,2219,86,19,58,12,102,"0",77,1,544,2516
20,NETHERLANDS,5,45,10,40,9,1,8,16,17,25,15,59,28,25,32,77,3049,593,1258,1198,47,870,601,76,37,12,1,87,7,2804,2442,79,17,22,19,67,"0",67,"0",412,1550
21,POLAND,4,31.75,3,31,3,"0",1,7,14,25,6,36,12,13,17,39,1553,398,615,540,30,573,329,59,27,7,"0",48,1,1412,1129,52,19,19,11,54,1,72,"0",270,1354
22,PORTUGAL,5,54.2,12,62,11,1,8,25,24,32,30,99,35,30,34,61,3648,808,1279,1561,71,878,600,97,63,6,"0",56,13,2977,2615,102,27,49,28,74,2,51,"0",303,1267
23,QATAR,3,40.666666666666664,1,21,1,"0",1,6,14,8,13,32,12,10,10,26,1605,325,679,601,25,471,310,37,21,7,"0",31,7,1333,1128,43,13,31,9,58,"0",32,"0",171,886
24,SAUDI ARABIA,3,36.666666666666664,3,29,3,"0",2,9,17,18,11,29,11,12,13,34,1266,325,557,384,37,520,307,59,31,14,"0",56,3,1124,881,42,8,21,8,56,"0",49,"0",215,803
25,SENEGAL,4,39.75,5,51,5,"0",2,14,28,32,19,60,9,10,19,50,1812,430,728,654,46,647,372,76,43,7,"0",48,8,1556,1276,72,21,31,22,63,1,36,"0",266,1077
26,SERBIA,3,42.666666666666664,5,31,4,1,4,10,17,22,9,47,13,24,12,29,1574,283,660,631,22,481,308,47,23,12,"0",43,4,1392,1164,59,13,18,9,30,"0",51,"0",226,848
27,SPAIN,4,69,9,51,9,"0",6,16,21,31,20,108,26,24,37,68,3752,626,1253,1873,83,871,677,111,75,2,"0",41,11,3819,3527,73,10,34,21,65,1,23,"0",240,827
28,SWITZERLAND,4,43,5,36,5,"0",4,11,15,23,13,58,14,24,15,46,2250,504,901,845,35,675,425,75,32,9,"0",52,6,1900,1613,67,14,18,20,57,"0",41,"0",280,1150
29,TUNISIA,3,37.666666666666664,1,29,"0",1,1,8,14,17,12,32,13,13,9,27,1568,354,670,544,29,527,290,61,24,5,"0",40,7,1216,964,63,12,11,21,33,"0",31,"0",222,904
30,UNITED STATES,4,47.5,3,46,3,"0",3,15,19,29,17,50,20,16,24,51,2781,590,1196,995,52,714,493,93,53,5,"0",45,5,2033,1777,96,10,20,22,46,"0",34,"0",293,1150
31,URUGUAY,3,41,2,32,2,"0",1,10,17,20,12,33,14,21,14,40,1403,389,467,547,24,482,298,57,32,8,"0",34,3,1364,1126,49,13,18,8,43,"0",29,"0",230,895
32,WALES,3,41,1,24,1,"0","0",7,10,11,13,32,6,15,13,24,1546,306,596,644,23,486,287,38,17,5,1,35,4,1242,995,39,12,22,6,37,1,45,"0",210,781
